location,area_sqft,bedrooms,bathrooms,age_years,parking_spaces,floor,price_inr
Hyderabad,4146,4,4,25,0,8,33625000
Hyderabad,1196,2,2,6,1,4,10984000
Chennai,1673,1,1,9,0,7,14881000
Chennai,3567,4,4,29,2,6,32621000
Bangalore,3255,5,5,13,0,5,37265000
Trichy,4095,6,5,7,1,11,18582000
Hyderabad,3313,4,5,30,0,4,26475000
Trichy,2912,3,4,13,0,12,11830000
Madurai,1880,3,2,30,0,4,7230000
Hyderabad,666,1,1,28,2,13,4546000
Coimbatore,1089,3,2,28,1,5,4774000
Chennai,1707,2,2,18,1,0,14343000
Chennai,795,1,2,24,1,2,5419000
Madurai,2454,4,3,29,2,12,10961000
Coimbatore,3410,5,4,8,1,13,22612000
Chennai,4070,5,4,1,1,3,40045000
Hyderabad,2388,3,2,9,0,9,20486000
Hyderabad,3757,5,4,19,0,9,31449000
Madurai,4149,5,4,16,0,2,19983000
Hyderabad,3703,5,5,2,1,7,32766000
Bangalore,2301,3,3,17,0,11,25335000
Bangalore,1804,3,3,5,0,15,21908000
Bangalore,4122,6,5,15,0,13,46961000
Hyderabad,1509,2,3,17,0,1,12345000
Madurai,2111,3,4,19,2,3,10588000
Bangalore,912,1,2,12,1,6,10097000
Bangalore,3468,5,5,12,2,2,40080000
Chennai,2957,3,4,21,1,9,27178000
Coimbatore,951,1,1,23,2,0,2975000
Madurai,1438,3,3,25,0,1,6107000
Chennai,2622,3,3,10,1,0,24451000
Chennai,2569,3,2,13,2,4,23716000
Hyderabad,3498,5,5,10,1,12,30687000
Chennai,1594,2,3,16,2,2,14479000
Madurai,3933,4,3,3,0,15,19293000
Bangalore,2228,3,2,13,0,4,24857000
Chennai,3570,5,5,5,2,0,34764000
Trichy,1496,2,1,16,0,5,5646000
Chennai,781,1,1,26,2,11,5815000
Bangalore,845,1,2,30,2,1,8130000
Chennai,1973,3,4,13,2,1,18199000
Chennai,4034,5,5,1,1,13,39579000
Chennai,822,1,1,7,2,9,8408000
Chennai,1960,3,3,3,0,5,18338000
Chennai,1038,2,1,23,1,12,8682000
Chennai,3957,6,5,30,0,13,36145000
Hyderabad,3048,5,5,17,2,5,25844000
Coimbatore,3358,4,4,5,2,8,21926000
Bangalore,3182,4,4,0,2,0,37397000
Bangalore,2983,4,4,30,2,4,33614000
Hyderabad,3397,5,4,9,0,9,28589000
Madurai,678,1,1,3,0,3,2841000
Madurai,3723,5,5,5,2,15,19078000
Chennai,3277,4,3,7,1,15,32262000
Chennai,3275,4,3,20,0,4,29604000
Chennai,2047,3,3,27,2,6,18040000
Bangalore,3493,5,5,8,2,3,40627000
Hyderabad,2005,3,2,21,1,8,15468000
Bangalore,823,1,1,2,2,1,9550000
Chennai,3873,6,5,0,0,6,39436000
Bangalore,1482,2,3,1,0,8,18468000
Hyderabad,1011,2,2,28,0,9,6507000
Chennai,2858,4,4,18,1,9,27031000
Madurai,1479,1,1,24,0,3,4725000
Chennai,3697,6,5,0,0,12,35885000
Trichy,2225,3,3,0,2,11,11595000
Chennai,665,1,1,26,2,12,5295000
Madurai,4029,5,5,3,2,7,21609000
Trichy,2477,3,3,4,2,14,11573000
Trichy,1583,2,1,16,2,6,6079000
Madurai,3055,4,5,18,1,12,15402000
Coimbatore,2534,3,3,7,1,3,16655000
Hyderabad,755,1,1,13,2,3,5518000
Coimbatore,3347,5,5,20,1,8,20622000
Chennai,2075,3,2,13,0,8,19252000
Hyderabad,3135,4,4,11,2,11,27385000
Hyderabad,3830,5,5,2,0,4,32811000
Madurai,2818,3,3,14,2,13,13975000
Hyderabad,3034,4,3,24,1,5,24563000
Bangalore,1554,1,1,19,2,8,16729000
Hyderabad,1493,2,1,27,0,14,11220000
Bangalore,2123,3,2,3,1,8,24526000
Chennai,3678,5,4,0,1,10,35274000
Hyderabad,2511,4,5,16,1,14,21331000
Bangalore,1885,3,3,5,0,15,22815000
Chennai,3418,4,3,18,2,7,31306000
Bangalore,3680,5,5,28,1,6,40713000
Bangalore,3854,5,5,10,2,3,43708000
Bangalore,1711,2,1,17,1,8,19387000
Bangalore,3169,5,4,21,0,14,36362000
Coimbatore,2746,3,4,4,2,7,18806000
Bangalore,2244,3,3,27,0,5,24573000
Trichy,2059,3,3,6,0,1,9719000
Trichy,1056,1,1,25,2,6,2772000
Hyderabad,1625,3,3,20,2,3,13103000
Bangalore,2601,4,4,4,2,15,30892000
Hyderabad,3798,5,4,22,1,8,32651000
Madurai,3726,5,5,6,2,2,19605000
Hyderabad,1316,1,1,18,0,1,9271000
Madurai,3062,4,5,29,2,13,14427000
Hyderabad,951,2,2,29,1,14,6083000
Hyderabad,3046,4,5,27,0,12,25490000
Bangalore,1864,3,2,15,1,1,20438000
Coimbatore,2247,2,1,17,1,1,13248000
Chennai,3198,4,5,9,0,3,31080000
Coimbatore,2158,3,4,28,1,12,12950000
Madurai,3517,6,5,14,1,12,18214000
Chennai,2544,3,3,23,0,13,22866000
Hyderabad,4196,6,5,11,0,1,35775000
Chennai,2916,4,4,22,2,2,26506000
Coimbatore,1702,2,3,6,1,14,11257000
Chennai,3403,5,5,22,1,14,32687000
Trichy,2098,3,4,1,1,11,10553000
Chennai,2546,3,3,3,1,1,24086000
Trichy,1135,2,3,10,1,1,4867000
Madurai,1073,1,1,14,1,0,4789000
Hyderabad,2691,4,4,22,2,11,22641000
Coimbatore,1312,1,1,11,2,13,8257000
Coimbatore,4192,6,5,0,0,10,28473000
Trichy,3688,4,3,10,2,4,16499000
Bangalore,3138,4,5,13,2,12,36026000
Hyderabad,3258,5,5,16,0,0,27344000
Chennai,2763,4,4,19,2,13,26447000
Hyderabad,864,1,1,7,1,14,7739000
Chennai,2043,2,2,18,2,11,17891000
Hyderabad,2410,3,3,19,1,14,19302000
Hyderabad,3900,4,5,24,2,9,32019000
Hyderabad,1429,1,2,16,0,7,11820000
Hyderabad,2414,3,3,25,0,5,17939000
Coimbatore,1871,3,2,6,2,14,12865000
Coimbatore,1127,3,3,22,1,11,6179000
Hyderabad,1015,1,2,1,1,3,8678000
Hyderabad,1947,3,2,3,0,15,16989000
Trichy,942,1,1,26,0,0,1788000
Chennai,888,1,2,14,2,9,7680000
Chennai,1895,3,4,19,0,3,17354000
Chennai,1367,2,2,18,1,10,11905000
Hyderabad,2620,4,4,21,0,6,20769000
Bangalore,712,1,1,7,0,6,8312000
Coimbatore,1721,2,2,5,0,10,11642000
Coimbatore,2259,2,1,1,2,12,15306000
Bangalore,4070,6,5,26,2,6,45210000
Madurai,2903,4,5,6,0,15,15548000
Coimbatore,3777,5,5,17,1,7,24595000
Bangalore,1869,2,3,14,1,2,20293000
Bangalore,2246,3,4,5,1,0,26291000
Bangalore,2142,3,3,12,2,3,24409000
Chennai,3801,5,5,2,0,11,38075000
Chennai,4056,6,5,5,0,8,40416000
Trichy,4067,6,5,4,1,5,18501000
Bangalore,3320,5,5,25,1,7,38642000
Bangalore,2436,4,4,17,0,13,27413000
Coimbatore,2570,4,4,28,2,9,16095000
Hyderabad,4131,6,5,13,0,0,35563000
Trichy,1660,3,2,6,0,0,7092000
Coimbatore,1881,3,3,18,1,7,11898000
Hyderabad,3835,5,5,28,1,6,31206000
Bangalore,2021,2,1,16,0,13,22313000
Trichy,1484,2,2,0,0,9,7416000
Coimbatore,2640,3,2,9,0,12,17418000
Trichy,1805,2,3,28,1,9,6423000
Chennai,3813,6,5,16,1,5,36218000
Madurai,3878,6,5,29,0,10,18839000
Hyderabad,1736,3,2,15,1,9,14643000
Chennai,2530,3,3,0,2,11,25321000
Hyderabad,4144,5,4,27,0,3,33095000
Coimbatore,3285,4,3,23,2,10,19627000
Chennai,1415,2,1,22,0,4,11491000
Bangalore,2747,4,4,30,0,12,29787000
Madurai,2851,4,5,6,0,12,15483000
Bangalore,2970,4,4,28,0,9,33143000
Bangalore,738,1,1,7,0,15,8355000
Bangalore,1713,2,3,30,1,8,18518000
Bangalore,3684,5,5,5,1,0,43708000
Trichy,1507,2,2,17,2,9,6185000
Coimbatore,1714,2,3,24,1,12,9473000
Chennai,1795,2,2,2,1,1,18028000
Trichy,1279,2,2,2,1,1,6170000
Madurai,1201,1,1,26,0,4,3798000
Bangalore,1882,3,2,1,2,13,22457000
Madurai,3754,5,5,19,0,8,17788000
Chennai,655,1,2,29,2,15,3916000
Trichy,1655,1,1,19,2,13,6321000
Coimbatore,865,1,2,14,2,8,4728000
Hyderabad,2643,3,2,12,1,10,23434000
Chennai,1539,2,3,19,0,5,13083000
Madurai,3462,5,5,17,2,1,16495000
Chennai,2727,4,3,15,0,6,25658000
Bangalore,3433,5,5,4,1,9,41343000
Chennai,2904,4,5,20,2,2,27118000
Coimbatore,2206,3,2,22,2,3,13307000
Chennai,3707,5,5,21,2,0,33601000
Trichy,2341,3,3,2,0,11,10830000
Hyderabad,4023,6,5,21,2,14,33507000
Chennai,4182,4,4,22,0,13,37315000
Chennai,2741,3,2,5,1,6,26017000
Chennai,3045,4,5,26,2,9,26869000
Hyderabad,1557,2,1,16,1,15,11750000
Madurai,3542,5,5,14,2,9,17685000
Chennai,3034,4,4,22,1,4,27390000
Madurai,3854,5,5,15,0,5,19166000
Chennai,1598,3,3,16,0,11,15080000
Madurai,3446,5,4,9,1,7,18049000
Trichy,2319,3,2,28,2,13,9147000
Coimbatore,1307,2,2,30,1,13,7277000
Coimbatore,1257,2,2,4,2,0,8521000
Madurai,2646,3,4,22,1,11,12384000
Chennai,1784,3,2,0,0,5,17927000
Chennai,1011,1,2,11,0,8,9170000
Chennai,2166,3,3,30,1,4,18505000
Hyderabad,2968,5,4,5,2,5,26083000
Coimbatore,1782,1,1,11,2,5,10188000
Hyderabad,4042,5,4,6,0,0,34637000
Madurai,3418,4,3,22,1,12,15814000
Chennai,2470,3,3,14,2,2,22598000
Coimbatore,3968,5,5,18,1,6,24957000
Chennai,2187,2,2,29,0,3,17683000
Bangalore,1145,1,2,16,1,2,12584000
Coimbatore,777,1,1,22,0,5,3416000
Trichy,3980,6,5,3,0,14,18769000
Hyderabad,4058,6,5,6,1,15,36003000
Chennai,3275,4,3,29,0,6,28795000
Hyderabad,1015,1,2,26,1,8,6167000
Chennai,1692,2,2,20,1,15,15554000
Madurai,795,1,1,11,1,3,3064000
Coimbatore,831,1,1,6,1,15,5287000
Chennai,1523,1,1,26,0,1,11983000
Chennai,2681,4,5,24,2,3,25315000
Chennai,882,1,1,7,2,5,8213000
Trichy,4146,5,5,18,2,0,17414000
Bangalore,2266,3,3,19,2,13,25723000
Coimbatore,1586,2,1,14,1,13,9359000
Hyderabad,2482,4,5,28,2,6,21130000
Hyderabad,3455,4,4,3,1,13,30074000
Chennai,1759,3,3,7,0,12,16093000
Trichy,818,1,1,2,2,12,4341000
Bangalore,830,1,1,21,0,12,9082000
Hyderabad,3675,5,5,19,2,9,31753000
Coimbatore,1046,1,1,30,1,1,5186000
Hyderabad,2906,4,4,16,2,14,24128000
Trichy,2015,3,4,4,1,9,10411000
Chennai,3410,5,5,13,1,14,32459000
Hyderabad,864,1,1,2,0,15,7789000
Bangalore,3838,6,5,20,2,2,43232000
Hyderabad,3129,5,4,20,0,6,25690000
Chennai,2245,3,2,26,1,3,19192000
Chennai,1385,2,1,10,1,0,13034000
Bangalore,4119,6,5,9,1,15,48574000
Bangalore,1722,3,3,2,0,14,20960000
Bangalore,2391,3,2,12,1,14,26486000
Hyderabad,2049,2,3,14,1,14,16786000
Hyderabad,1468,3,3,23,0,10,11261000
Bangalore,2129,2,2,23,0,8,23124000
Bangalore,1187,1,1,4,2,15,14431000
Chennai,655,1,1,8,0,8,6473000
Hyderabad,1679,2,2,15,0,10,13094000
Bangalore,1047,1,1,10,1,3,9992000
Chennai,2122,2,2,0,0,11,19630000
Bangalore,3713,5,5,26,1,13,42489000
Hyderabad,1227,1,1,22,0,10,8455000
Chennai,654,1,1,16,1,7,4916000
Hyderabad,1044,3,2,9,2,3,10128000
Hyderabad,2454,3,3,26,1,0,19735000
Coimbatore,1625,3,2,1,2,10,11612000
Hyderabad,2388,3,2,13,2,10,19727000
Hyderabad,753,1,1,24,0,12,4668000
Bangalore,1832,2,3,29,1,15,19491000
Coimbatore,2106,1,1,7,0,7,13551000
Hyderabad,2181,2,3,20,1,13,17644000
Bangalore,2607,2,1,5,0,11,29785000
Hyderabad,3421,3,2,3,2,4,29473000
Bangalore,2309,2,3,10,0,13,25599000
Hyderabad,3637,6,5,27,1,0,30343000
